parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
phsstay0;"Luftdruck auf Barometerhöhe (QFE); homogenes Jahresmittel";"Pression atmosphérique à l'altitude du baromètre (QFE); moyenne annuelle homogène";"Pressione all'altitudine barometrica (QFE); media annuale omogenea";"Atmospheric pressure at station Level (QFE); homogeneous yearly average";Druck;pression;pressione;pressure;Y;1;Float;hPa
pv9120mv;"Dampfdruck 2 m über Boden; Abweichung des homogenen Monatsmittels von der Norm 9120";"pression de vapeur à 2 m du sol; déviation de la moyenne mensuelle homogène par rapport à la norme 9120";"Pressione del vapore acqueo a 2 m; deviazione della media mensile omogenea dalla norma 9120";"Vapour pressure 2 m above ground; deviation of the homogeneous monthly mean to the norm 9120";Feuchte;humidité;umidità;humidity;M;1;Float;hPa
pv9120yv;"Dampfdruck 2 m über Boden; Abweichung des homogenen Jahresmittels von der Norm 9120";"pression de vapeur à 2 m du sol; déviation de la moyenne annuelle homogène par rapport à la norme 9120";"Pressione del vapore acqueo a 2 m; deviazione della media annuale omogenea dalla norma 9120";Vapour pressure 2 m above ground, deviation of the homogeneous yearly mean to the norm 9120;Feuchte;humidité;umidità;humidity;Y;1;Float;hPa
pva2hsm0;"Dampfdruck 2 m über Boden; homogenes Monatsmittel";"pression de vapeur à 2 m du sol; moyenne mensuelle";"Temperatura dell'aria a 2 m; media mensile omogenea";"Vapour pressure 2 m above ground; homogeneous monthly mean";Feuchte;humidité;umidità;humidity;M;1;Float;hPa
pva2hsy0;"Dampfdruck 2 m über Boden; homogenes Jahresmittel";"vapour pressure 2 m above ground; homogeneous yearly average";"vapour pressure 2 m above ground; homogeneous yearly average";"vapour pressure 2 m above ground; homogeneous yearly average";Feuchte;humidité;umidità;humidity;Y;1;Float;hPa
rh9120mv;"Niederschlag; Verhältnis der homogenen Monatssumme zur Norm 9120";"précipitations; rapport de la somme mensuelle homogène à la norme 9120";"Precipitazioni; somma mensile omogenea rispetto alla norma 9120";"Precipitation; relation of the homogeneous monthly total to the norm 9120";Niederschlag;précipitations;precipitazioni;precipitation;M;0;Integer;%
rh9120yv;"Niederschlag; Verhältnis der homogenen Jahressumme zur Norm 9120";"précipitations; rapport de la somme annuelle homogène à la norme 9120";"Precipitazioni; somma annuale omogenea rispetto alla norma 9120";"Precipitation; relation of the homogeneous yearly total to the norm 9120";Niederschlag;précipitations;precipitazioni;precipitation;Y;0;Integer;%
rhs001m0;"Anzahl Tage im Monat mit Niederschlag >= 1 mm homogen; Anzahl Tage bei denen der tägliche Gesamtniederschlag >= 1mm war.";Monthly count of days when precipitation was >= 1 mm;Monthly count of days when precipitation was >= 1 mm;Monthly count of days when precipitation was >= 1mm;Niederschlag;précipitations;precipitazioni;precipitation;M;0;Integer;No
rhs001yx;"Folge von Niederschlagstagen homogen; Maximale Anzahl aufeinanderfolgender Tage pro Jahr mit Niederschlag >=1mm";Maximum number of consecutive days per year with RR>=1mm;Maximum number of consecutive days per year with RR>=1mm;Maximum number of consecutive days per year with RR>=1mm;Niederschlag;précipitations;precipitazioni;precipitation;Y;0;Integer;No
rhs150m0;"Niederschlag; homogene Monatssumme";"Précipitations; somme mensuelle homogène";"Precipitazioni; somma mensile omogenea";"Precipitation; homogeneous monthly total";Niederschlag;précipitations;precipitazioni;precipitation;M;1;Float;mm
rhs150y0;"Niederschlag; homogene Jahressumme";"Précipitations; somme annuelle homogène";"Precipitazioni; somma annuale omogenea";"Precipitation; homogeneous yearly total";Niederschlag;précipitations;precipitazioni;precipitation;Y;1;Float;mm
rhsdryyx;Längste Folge von Trockentagen (Tagesniederschlagssumme < 1 mm) des Jahres, homogen;La plus longue séquence de jours secs (somme journalière de précipitations < 1 mm) de l'année, homogène;La più lunga serie di giorni secchi (somma giornaliera di precipitazioni < 1 mm) dell'anno, omogeneo;Longest sequence of dry days (daily total precipitation < 1 mm) of the year, homogenous;Niederschlag;précipitations;precipitazioni;precipitation;Y;0;Integer;No
sh9120mv;"Sonnenscheindauer; Verhältnis der homogenen Monatssumme zur Norm 9120";"Durée d'ensoleillement; rapport de la somme mensuelle homogène à la norme 9120";"Soleggiamento; somma mensile omogenea rispetto alla norma 9120";"Sunshine duration; relation of the homogeneous monthly total to the norm 9120";Sonne;ensoleillement;soleggiamento;sunshine;M;0;Integer;%
sh9120yv;"Sonnenscheindauer; Verhältnis der homogenen Jahressumme zur Norm 9120";"Durée d'ensoleillement; rapport de la somme annuelle homogène à la norme 9120";"Soleggiamento; somma annuale omogenea rispetto alla norma 9120";Sunshine duration: relation of the homogeneous yearly total to the norm 9120;Sonne;ensoleillement;soleggiamento;sunshine;Y;0;Integer;%
shs000m0;"Sonnenscheindauer; homogene Monatssumme";"Durée d'ensoleillement; somme mensuelle homogène";"Soleggiamento; somma mensile omogenea";"Sunshine duration; homogeneous monthly total";Sonne;ensoleillement;soleggiamento;sunshine;M;0;Integer;min
shs000y0;"Sonnenscheindauer; homogene Jahressumme";"Durée d'ensoleillement; somme annuelle homogène";"Soleggiamento; somma annuale omogenea";"Sunshine duration; homogeneous yearly total";Sonne;ensoleillement;soleggiamento;sunshine;Y;0;Integer;min
th9120dv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Tagesmittels (statistisch abgeleitet) von der Norm 9120";"température de l'air à 2 m du sol; déviation de la moyenne journalière homogène (statistiquement dérivée) par rapport à la norme 9120";"Temperatura dell'aria a 2 m; deviazione della media giornaliera omogenea (derivata statisticamente) dalla norma 9120";"Air temperature 2 m above ground; deviation of the homogeneous daily mean (statistically derived) to the norm 9120";Temperatur;température;temperatura;temperature;D;1;Float;°C
th9120mv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Monatsmittels von der Norm 9120";"température de l'air à 2 m du sol; déviation de la moyenne mensuelle homogène par rapport à la norme 9120";"Temperatura dell'aria a 2 m; deviazione della media mensile omogenea dalla norma 9120";"Air temperature 2 m above ground; deviation of the homogeneous monthly mean to the norm 9120";Temperatur;température;temperatura;temperature;M;1;Float;°C
th9120yv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Jahresmittels von der Norm 9120";"température de l'air à 2 m du sol; déviation de la moyenne annuelle homogène par rapport à la norme 9120";"Temperatura dell'aria a 2 m; deviazione della media annuale omogenea dalla norma 9120";"Air temperature 2 m above ground; deviation of the homogeneous yearly mean from the norm 9120";Temperatur;température;temperatura;temperature;Y;1;Float;°C
th91dndv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Tagesminimum (statistisch abgeleitet) von der Norm 9120";"température de l'air à 2 m du sol; déviation du minimum journalier homogène (statistiquement dérivée) par rapport à la norme 9120";"Temperatura dell'aria a 2 m; deviazione della minima giornaliera omogenea (derivata statisticamente) dalla norma 9120";"Air temperature 2 m above ground; deviation of the homogeneous daily minimum (statistically derived) to the norm 9120";Temperatur;température;temperatura;temperature;D;1;Float;°C
th91dnmv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Monatsmittels der Tagesminima von der Norm 9120";"température de l'air à 2 m du sol; déviation de la moyenne mensuelle homogène des minima journaliers par rapport à la norme 9120";"Temperatura dell'aria a 2 m; deviazione della media mensile omogenea delle minime giornaliere dalla norma 9120";"Air temperature 2 m above ground; deviation of the homogeneous monthly mean of the daily minima to the norm 9120";Temperatur;température;temperatura;temperature;M;1;Float;°C
th91dnyv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Jahresmittels der Tagesminima von der Norm 9120";"température de l'air à 2 m du sol; déviation de la moyenne annuelle homogène des minima journaliers par rapport à la norme 9120";"Temperatura dell'aria a 2 m; deviazione della media annuale omogenea delle minime giornaliere dalla norma 9120";"Air temperature 2 m above ground; deviation of the homogeneous yearly mean of the daily minima to the norm 9120";Temperatur;température;temperatura;temperature;Y;1;Float;°C
th91dxdv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Tagesmaximum (statistisch abgeleitet) von der Norm 9120";"température de l'air à 2 m du sol; déviation du maximum journalier homogène (statistiquement dérivée) par rapport à la norme 9120";"Temperatura dell'aria a 2 m; deviazione della massima giornaliera omogenea (derivata statisticamente) dalla norma 9120";"Air temperature 2 m above ground; deviation of the homogeneous daily maximum (statistically derived) to the norm 9120";Temperatur;température;temperatura;temperature;D;1;Float;°C
th91dxmv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Monatsmittels der Tagesmaxima von der Norm 9120";"température de l'air à 2 m du sol; déviation de la moyenne mensuelle homogène des maxima journaliers par rapport à la norme 9120";"Temperatura dell'aria a 2 m; deviazione della media mensile omogenea delle massime giornaliere dalla norma 9120";"Air temperature 2 m above ground; deviation of the homogeneous monthly mean of the daily maxima to the norm 9120";Temperatur;température;temperatura;temperature;M;1;Float;°C
th91dxyv;"Lufttemperatur 2 m über Boden; Abweichung des homogenen Jahresmittels der Tagesmaxima von der Norm 9120";"température de l'air à 2 m du sol; déviation de la moyenne annuelle homogène des maxima journaliers par rapport à la norme 9120";"Temperatura dell'aria a 2 m; deviazione della media annuale omogenea delle massime giornaliere dalla norma 9120";"Air temperature 2 m above ground; deviation of the homogeneous yearly mean of the daily maxima to the norm 9120";Temperatur;température;temperatura;temperature;Y;1;Float;°C
thl200mn;"Lufttemperatur 2 m über Boden; absolutes Monatsminimum, homogen";"température de l'air à 2 m du sol; minimum mensuel absolu, homogène";"Temperatura dell'aria a 2 m; minima mensile assoluta, omogeneo";"Air temperature 2 m above ground; absolute monthly minimum, homogenous";Temperatur;température;temperatura;temperature;M;1;Float;°C
thl200mx;"Lufttemperatur 2 m über Boden; absolutes Monatsmaximum, homogen";"température de l'air à 2 m du sol; maximum mensuel absolu, homogène";"Temperatura dell'aria a 2 m; massima mensile assoluta, omogeneo";"Air temperature 2 m above ground; absolute monthly maximum, homogenous";Temperatur;température;temperatura;temperature;M;1;Float;°C
ths00nm0;"Frosttage (Minimum tiefer als 0 Grad C); Monatssumme, homogen";"jours de gel (température minimale < 0 degré C); somme mensuelle, homogène";"Giorni di gelo (minima < 0 gradi C); somma mensile, omogeneo";"Frost days (minimum lower than 0 degrees C); monthly total, homogenous";Temperatur;température;temperatura;temperature;M;0;Integer;No
ths00xm0;"Eistage (Maximum tiefer als 0 Grad C); Monatssumme, homogen";"jours d'hiver (température maximale < 0 degré C); somme mensuelle, homogène";"Giorni di ghiaccio (massima < 0 gradi C); somma mensile, omogeneo";"Ice days (maximum lower than 0 degrees C); monthly total, homogenous";Temperatur;température;temperatura;temperature;M;0;Integer;No
ths200d0;"Lufttemperatur 2 m über Boden; homogenes Tagesmittel (statistisch abgeleitet)";"température de l'air à 2 m du sol; moyenne journalière homogène (statistiquement dérivée)";"Temperatura dell'aria a 2 m; media giornaliera omogenea (derivata statisticamente)";"Air temperature 2 m above ground; homogeneous daily mean (statistically derived)";Temperatur;température;temperatura;temperature;D;1;Float;°C
ths200dn;"Lufttemperatur 2 m über Boden; homogenes Tagesminimum (statistisch abgeleitet)";"température de l'air à 2 m du sol; minimum journalier homogène (statistiquement dérivé)";"Temperatura dell'aria a 2 m; minima giornaliera omogenea (derivata statisticamente)";"Air temperature 2 m above ground; homogeneous daily minimum (statistically derived)";Temperatur;température;temperatura;temperature;D;1;Float;°C
ths200dx;"Lufttemperatur 2 m über Boden; homogenes Tagesmaximum (statistisch abgeleitet)";"température de l'air à 2 m du sol; maximum journalier homogène (statistiquement dérivé)";"Temperatura dell'aria a 2 m; massima giornaliera omogenea (derivata statisticamente)";"Air temperature 2 m above ground; homogeneous daily maximum (statistically derived)";Temperatur;température;temperatura;temperature;D;1;Float;°C
ths200m0;"Lufttemperatur 2 m über Boden; homogenes Monatsmittel";"température de l'air à 2 m du sol; moyenne mensuelle homogène";"Temperatura dell'aria a 2 m; media mensile omogenea";"Air temperature 2 m above ground; homogeneous monthly mean";Temperatur;température;temperatura;temperature;M;1;Float;°C
ths200y0;"Lufttemperatur 2 m über Boden; homogenes Jahresmittel";"air temperature 2 m above ground; homogeneous yearly average";"air temperature 2 m above ground; homogeneous yearly average";"air temperature 2 m above ground; homogeneous yearly average";Temperatur;température;temperatura;temperature;Y;1;Float;°C
ths20nm0;"Tropennächte; Monatssumme, homogen";"nuits tropicales; somme mensuelle, homogène";"Notti tropicali; somma mensile, omogeneo";"Tropical nights; monthly total, homogenous";Temperatur;température;temperatura;temperature;M;0;Integer;No
ths25xm0;"Sommertage (Maximum 25 Grad C oder höher); Monatssumme, homogen";"Nombre de jours d'été (température >= 25 degrés C); somme mensuelle, homogène";"Giorni estivi (massima => 25 gradi C); somma mensile, omogeneo";"Summer days (maximum 25 degrees C or higher); monthly total, homogenous";Temperatur;température;temperatura;temperature;M;0;Integer;No
ths2dymn;"Lufttemperatur 2 m über Boden; homogenes Monatsmittel der Tagesminima";"température de l'air à 2 m du sol; moyenne mensuelle homogène des minima journaliers";"Temperatura dell'aria a 2 m; media mensile omogenea delle minime giornaliere";"Air temperature 2 m above ground; homogeneous monthly mean of the daily minima";Temperatur;température;temperatura;temperature;M;1;Float;°C
ths2dymx;"Lufttemperatur 2 m über Boden; homogenes Monatsmittel der Tagesmaxima";"température de l'air à 2 m du sol; moyenne mensuelle homogène des maxima journaliers";"Temperatura dell'aria a 2 m; media mensile omogenea delle massime giornaliere";"Air temperature 2 m above ground; homogeneous monthly mean of the daily maximum";Temperatur;température;temperatura;temperature;M;1;Float;°C
ths2dyyn;"Lufttemperatur 2 m über Boden; homogenes Jahresmittel der Tagesminima";"air temperature 2 m above ground; homogeneous yearly average of the daily minima";"air temperature 2 m above ground; homogeneous yearly average of the daily minima";"air temperature 2 m above ground; homogeneous yearly average of the daily minima";Temperatur;température;temperatura;temperature;Y;1;Float;°C
ths2dyyx;"Lufttemperatur 2 m über Boden; homogenes Jahresmittel der Tagesmaxima";"air temperature 2 m above ground; homogeneous yearly average of the daily maxima";"air temperature 2 m above ground; homogeneous yearly average of the daily maxima";"air temperature 2 m above ground; homogeneous yearly average of the daily maxima";Temperatur;température;temperatura;temperature;Y;1;Float;°C
ths30xm0;"Hitzetage (Maximum 30 Grad C oder höher); Monatssumme, homogen";"jours de chaleur (température maximale >= 30 degrés C); somme mensuelle, homogène";"Giorni tropicali (massima => 30 gradi C); somma mensile, omogeneo";"Heat days (maximum 30 degrees C or higher); monthly total, homogenous";Temperatur;température;temperatura;temperature;M;0;Integer;No
ths35xm0;"Sehr heisse Tage; monatliche Anzahl der Tage mit einer täglichen Maximumtemperatur >= 35 Grad C, homogen";"Jours de très forte chaleur ; nombre mensuel de jours avec une température maximale journalière >= 35 degrés C, homogène";"Giorni molto caldi; numero mensile di giorni con temperatura massima giornaliera >= 35 gradi C, omogeneo";"Very hot days; monthly number of days with daily maximum temperature >= 35 degree C, homogeneous";Temperatur;température;temperatura;temperature;M;0;Integer;No
xhs000m0;"Heizgradzahl 12/20 (SIA: Heizgradtage); Monatssumme, homogen";"degrés jours (HGT12/20); somme mensuelle, homogène";"Gradi riscaldamento (12/20); somma mensile, omogeneo";"Heating degrees (HGT12/20); monthly total, homogenous";Technische Standards;standards techniques;standard tecnici;technical standards;M;1;Float;°C
